@relation ENS_AGEBS_20

@attribute index numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
4177,Ensenada,7945,1,2564,218,10.598261,2.006957,876,0.883696,3.246087,465,728,325
4273,Ensenada,7964,1,2479,534,12.951064,1.674043,990,0.560851,2.934681,714,857,106
4321,Ensenada,7979,1,5372,712,9.9252,1.6244,1880,0.6156,2.7448,1170,1742,453
4372,Ensenada,7998,1,1384,129,11.573488,1.490233,509,0.752791,3.085116,305,479,54
4416,Ensenada,8002,1,1212,122,8.992143,1.586786,448,0.6975,2.638214,220,460,133
4446,Ensenada,8017,1,2339,193,11.173659,1.777317,778,0.912195,3.382439,415,921,282
4488,Ensenada,8021,1,1955,182,10.224048,1.711905,688,0.740952,2.838333,398,723,178
4531,Ensenada,8036,1,447,69,5.645833,0.720625,592,0.231667,1.033125,145,151,0
4580,Ensenada,8040,1,912,81,11.011277,1.781277,438,0.721277,2.874468,231,456,49
4628,Ensenada,8055,1,1226,192,10.882619,1.487143,714,0.615714,2.569048,311,388,67
4718,Ensenada,8074,1,3641,428,9.426585,1.864634,1460,0.696341,2.698293,632,1278,315
4760,Ensenada,8089,1,1361,97,8.974222,1.624222,485,0.816889,2.820667,241,555,148
4807,Ensenada,8093,1,662,10,8.356129,1.55871,217,0.89,2.918387,68,275,57
4840,Ensenada,8106,1,2458,179,8.04413,1.873261,736,0.825,3.086957,260,985,286
4887,Ensenada,8110,1,3123,164,8.391622,1.967838,915,0.955946,3.337568,324,1304,370
4929,Ensenada,8394,1,1580,57,8.248,1.998667,449,1.125333,3.652,137,663,209
4945,Ensenada,8407,1,752,36,13.55875,1.39625,274,0.69875,3.0675,207,178,57
4954,Ensenada,8426,1,2272,113,8.057955,2.135227,730,1.034318,3.2875,239,929,332
4999,Ensenada,8430,1,2354,92,8.356667,1.870909,696,1.015758,3.328485,195,924,243
5033,Ensenada,8445,1,2686,116,8.315,2.076905,788,1.087857,3.38,235,1155,378
5134,Ensenada,8464,1,4091,231,8.939808,2.101346,1231,1.0975,3.568077,454,1582,543
5187,Ensenada,8479,1,1480,159,9.74931,1.778966,536,0.771379,2.975862,273,689,118
5217,Ensenada,8568,1,1532,93,13.0915,1.356,570,0.7235,3.039,407,409,135
5238,Ensenada,8572,1,599,33,10.881429,1.631429,198,0.851429,3.138571,74,156,59
5246,Ensenada,8587,1,354,13,9.584286,2.388571,103,1.124286,3.740714,73,181,73
5261,Ensenada,8680,1,2574,131,11.901176,1.577647,912,0.825882,3.119412,527,885,240
5279,Ensenada,8695,1,190,30,8.665,4.18125,70,0.72,2.67125,70,75,71
5288,Ensenada,8708,1,744,66,9.71375,1.255625,296,0.69125,2.43875,200,104,66
5305,Ensenada,8712,1,27,3,11.145,1.615,10,0.665,2.75,0,7,0
5308,Ensenada,8727,1,556,49,6.924667,1.866667,182,0.932667,3.016,55,319,69
5324,Ensenada,8731,1,2133,75,12.061026,1.626154,723,0.880256,3.165897,391,701,279
5365,Ensenada,8746,1,1418,75,9.625238,1.86,487,0.888095,3.06619,253,608,140
5387,Ensenada,9551,1,62,14,7.966667,0.736667,21,0.308333,1.768333,23,41,0
5394,Ensenada,9566,2,414,26,7.873333,1.702222,129,0.974444,3.268889,34,225,54
5404,Ensenada,9585,1,827,4,10.242,1.285,254,0.839,3.071,144,236,76
5450,Ensenada,9602,1,2857,159,11.568,1.227143,1201,0.618,2.660286,756,1076,282
5486,Ensenada,9617,1,1761,128,10.686471,1.608529,598,0.888824,3.292059,417,883,157
5521,Ensenada,9621,1,806,42,9.612,1.575,295,0.877,3.08,125,442,135
5533,Ensenada,9636,1,4279,227,10.81413,1.44087,1664,0.800435,2.853261,1017,1525,403
5580,Ensenada,9640,1,3171,181,9.996042,1.688542,1113,0.919583,3.1775,549,1208,389
5629,Ensenada,9655,1,2416,114,9.578889,1.552,803,0.87,2.874,511,873,246
5719,Ensenada,9674,1,2712,142,11.64775,1.6285,989,0.8495,3.1215,600,890,345
5760,Ensenada,9689,1,431,20,10.756667,1.693333,151,1.033333,3.51,66,119,48
5764,Ensenada,9693,1,1035,86,10.106765,1.830588,398,0.823529,2.994412,192,462,67
5799,Ensenada,9706,1,2678,48,11.060833,1.578333,884,0.976944,3.3,474,941,316
5836,Ensenada,9710,1,3893,165,10.077619,1.789048,1251,1.128333,3.563333,539,1614,444
5879,Ensenada,9725,1,1756,95,8.25325,1.84575,580,0.9705,3.05875,201,797,148
5952,Ensenada,9744,1,111,0,9.83,1.96,36,1.165,3.74,14,74,22
5955,Ensenada,9759,1,183,8,8.7,2.305,51,1.155,4.075,19,94,21
5958,Ensenada,9763,1,1273,89,10.346061,1.631515,483,0.64303,2.59303,292,426,76
5992,Ensenada,9778,1,562,22,10.161154,1.781923,180,0.848846,3.072692,119,197,26
6019,Ensenada,9797,1,29,0,9.805,2.125,16,0.905,2.215,8,16,0
6038,Ensenada,9814,1,3537,129,10.411818,1.603273,1230,0.918364,3.132182,717,1448,416
6094,Ensenada,9829,1,69,9,8.542857,2.867143,21,1.031429,3.53,35,74,20
6102,Ensenada,9833,1,895,16,9.543077,1.680769,285,1.03,3.043846,136,384,113
6116,Ensenada,9848,1,2498,50,10.189412,1.698824,768,0.967059,3.446471,344,1002,331
6134,Ensenada,9852,1,1089,38,11.532632,1.442105,387,0.863158,3.028947,224,256,147
6154,Ensenada,9867,1,922,18,11.001765,1.514706,291,0.939412,3.389412,131,253,84
6172,Ensenada,9871,1,2907,61,8.853784,1.546757,914,0.995135,3.03,433,1010,344
6210,Ensenada,9886,1,192,6,13.688,1.274,77,0.594,2.974,56,73,0
6216,Ensenada,9890,1,128,16,8.421818,1.312727,55,0.68,2.55,22,81,9
6229,Ensenada,9903,1,135,13,13.84,1.71,54,0.66,3.14,40,45,6
