index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,PNACOE
159,Ensenada,1,Ensenada,0115,29,53,4,4,0,10.39,1.57,18,1.56,3.79,7,14
160,Ensenada,1,Ensenada,0115,30,8,*,*,*,*,*,2,*,*,*,*
161,Ensenada,1,Ensenada,0115,31,2,*,*,*,*,*,1,*,*,*,*
162,Ensenada,1,Ensenada,0115,33,6,0,0,3,5,4.67,3,1,2,0,5
163,Ensenada,1,Ensenada,0115,34,56,*,4,0,9.14,1.70,22,1.60,3.11,3,27
164,Ensenada,1,Ensenada,0115,35,53,6,*,0,8.52,1.89,17,1.83,3.79,*,17
165,Ensenada,1,Ensenada,0115,36,0,0,0,0,0,0,0,0,0,0,0
166,Ensenada,1,Ensenada,0115,37,75,7,4,3,8.80,2.26,27,1.53,3.26,9,26
167,Ensenada,1,Ensenada,0115,38,55,*,6,*,8.59,2.25,18,1.77,3.67,*,16
168,Ensenada,1,Ensenada,0115,39,97,10,4,*,9.33,2.11,36,1.49,3.13,8,49
169,Ensenada,1,Ensenada,0115,40,75,5,7,*,8.82,2.27,59,1.53,3.13,*,36
170,Ensenada,1,Ensenada,0115,41,376,33,34,3,8.87,2.10,124,1.50,3.30,24,181
171,Ensenada,1,Ensenada,0115,42,74,8,3,*,8.49,2.13,22,1.54,3.36,6,28
172,Ensenada,1,Ensenada,0115,43,135,5,11,*,8.69,2,42,1.59,3.38,10,53
173,Ensenada,1,Ensenada,0115,44,26,*,5,0,9.27,2,10,1.08,2.89,*,11
174,Ensenada,1,Ensenada,0115,45,33,3,*,0,10.48,1.78,9,1.43,3.67,4,13
175,Ensenada,1,Ensenada,0115,46,0,0,0,0,0,0,0,0,0,0,0
176,Ensenada,1,Ensenada,0115,47,1,*,*,*,*,*,1,*,*,*,*
177,Ensenada,1,Ensenada,0115,48,4,*,*,*,*,*,2,*,*,*,*
178,Ensenada,1,Ensenada,0115,49,4,*,*,*,*,*,2,*,*,*,*
180,Ensenada,1,Ensenada,012A,15,41,*,*,3,7.85,2.46,13,1.08,3.42,*,18
181,Ensenada,1,Ensenada,012A,16,9,0,0,*,5.67,5.33,8,0.56,1.80,0,6
182,Ensenada,1,Ensenada,012A,17,11,*,*,*,*,*,3,*,*,*,*
183,Ensenada,1,Ensenada,012A,18,8,*,*,*,*,*,2,*,*,*,*
184,Ensenada,1,Ensenada,012A,19,24,*,*,0,9.93,1.33,7,2,4.80,*,7
185,Ensenada,1,Ensenada,012A,20,0,0,0,0,0,0,0,0,0,0,0
186,Ensenada,1,Ensenada,012A,21,410,25,32,7,8.97,2.05,132,1.56,3.42,23,150
187,Ensenada,1,Ensenada,012A,22,41,4,*,0,9.43,1.85,16,1.58,3.73,3,20
188,Ensenada,1,Ensenada,012A,23,77,4,3,*,9.79,1.55,30,1.28,2.66,7,25
189,Ensenada,1,Ensenada,012A,24,59,3,4,0,9.03,2.10,20,1.11,3.11,6,13
190,Ensenada,1,Ensenada,012A,25,90,8,7,0,9.75,1.87,25,1.43,3.91,6,38
191,Ensenada,1,Ensenada,012A,26,149,13,12,5,9.31,2,48,1.52,3.39,12,56
192,Ensenada,1,Ensenada,012A,27,154,9,10,4,9.43,2.10,48,1.50,3.42,11,70
193,Ensenada,1,Ensenada,012A,28,52,*,6,*,7.54,2.06,18,1.24,3.47,*,28
194,Ensenada,1,Ensenada,012A,29,71,5,*,4,8.27,2.78,23,1.22,3.09,6,47
195,Ensenada,1,Ensenada,012A,30,26,4,*,0,10.38,2.67,8,1.53,4.33,0,11
197,Ensenada,1,Ensenada,0134,1,150,7,11,*,10.21,2.16,61,1.11,3.33,18,65
198,Ensenada,1,Ensenada,0134,2,174,9,14,*,9.39,1.71,57,1.20,3.11,22,66
199,Ensenada,1,Ensenada,0134,3,158,12,11,*,9.84,1.91,48,0.99,3.29,20,46
200,Ensenada,1,Ensenada,0134,4,0,0,0,0,0,0,0,0,0,0,0
201,Ensenada,1,Ensenada,0134,5,146,9,13,*,9.15,1.82,57,1.46,2.98,13,56
202,Ensenada,1,Ensenada,0134,6,143,5,7,3,8.09,1.75,59,1.28,2.65,16,62
203,Ensenada,1,Ensenada,0134,7,154,17,8,3,8.98,2.07,60,1.54,2.85,14,54
204,Ensenada,1,Ensenada,0134,8,163,9,13,*,8.70,2.25,58,1.51,3.08,13,50
205,Ensenada,1,Ensenada,0134,9,147,18,15,3,8.48,2.10,58,1.53,3.59,11,32
206,Ensenada,1,Ensenada,0134,10,185,10,16,*,8.37,1.98,61,1.37,3.03,25,60
207,Ensenada,1,Ensenada,0134,11,42,4,*,0,9.70,1.57,17,0.88,2.80,7,6
