ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,PNACOE,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_PC
02,Baja California,001,Ensenada,0001,Ensenada,0134,003,158,12,11,*,9.84,1.91,46,48,3.29,0.99,20
02,Baja California,001,Ensenada,0001,Ensenada,0134,004,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0134,005,146,9,13,*,9.15,1.82,56,57,2.98,1.46,13
02,Baja California,001,Ensenada,0001,Ensenada,0134,006,143,5,7,3,8.09,1.75,62,59,2.65,1.28,16
02,Baja California,001,Ensenada,0001,Ensenada,0134,007,154,17,8,3,8.98,2.07,54,60,2.85,1.54,14
02,Baja California,001,Ensenada,0001,Ensenada,0134,008,163,9,13,*,8.70,2.25,50,58,3.08,1.51,13
02,Baja California,001,Ensenada,0001,Ensenada,0134,009,147,18,15,3,8.48,2.10,32,58,3.59,1.53,11
02,Baja California,001,Ensenada,0001,Ensenada,0134,010,185,10,16,*,8.37,1.98,60,61,3.03,1.37,25
02,Baja California,001,Ensenada,0001,Ensenada,0134,011,42,4,*,0,9.70,1.57,6,17,2.80,0.88,7
02,Baja California,001,Ensenada,0001,Ensenada,0134,012,233,12,18,3,9.48,1.67,105,93,3.03,1.14,19
02,Baja California,001,Ensenada,0001,Ensenada,0134,013,157,11,12,*,9.78,1.71,55,54,3.08,1.37,21
02,Baja California,001,Ensenada,0001,Ensenada,0134,014,95,6,10,*,8.40,1.85,34,30,3.39,1.53,5
02,Baja California,001,Ensenada,0001,Ensenada,0134,015,64,4,3,0,9.50,1.30,23,28,2.67,1.02,11
02,Baja California,001,Ensenada,0001,Ensenada,0134,016,82,6,5,*,8.85,2.19,32,26,3.15,1.49,7
02,Baja California,001,Ensenada,0001,Ensenada,0134,017,99,4,7,*,11.48,1.51,27,29,3.67,1.30,14
02,Baja California,001,Ensenada,0001,Ensenada,0134,018,65,5,*,*,9.82,2.71,31,28,2.83,0.89,14
02,Baja California,001,Ensenada,0001,Ensenada,0134,019,86,4,9,*,9.72,2.36,33,26,3.58,1.12,14
02,Baja California,001,Ensenada,0001,Ensenada,0134,020,26,0,3,0,8.32,1.90,10,11,2.36,0.93,3
02,Baja California,001,Ensenada,0001,Ensenada,0134,021,320,25,19,*,9.75,1.88,129,113,2.99,1.18,39
02,Baja California,001,Ensenada,0001,Ensenada,0134,022,66,3,4,*,9.57,1.79,30,26,3,1.03,14
02,Baja California,001,Ensenada,0001,Ensenada,0134,023,74,4,7,*,7.89,2.35,53,42,3.08,1.35,*
02,Baja California,001,Ensenada,0001,Ensenada,0134,024,93,7,6,*,8.43,2.06,32,37,3.10,1.52,11
02,Baja California,001,Ensenada,0001,Ensenada,0134,025,177,10,12,*,8.88,1.90,70,77,2.60,1.08,25
02,Baja California,001,Ensenada,0001,Ensenada,0134,026,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0134,027,77,5,3,*,9.52,1.69,23,27,3.21,1.43,11
02,Baja California,001,Ensenada,0001,Ensenada,0134,028,136,10,13,0,9.77,1.60,41,48,2.89,1.36,18
02,Baja California,001,Ensenada,0001,Ensenada,0134,029,65,3,3,0,10.55,1.33,25,24,2.83,1.27,7
02,Baja California,001,Ensenada,0001,Ensenada,0134,030,106,5,5,0,9.78,1.37,35,40,2.94,1.28,18
02,Baja California,001,Ensenada,0001,Ensenada,0134,031,109,7,10,*,8.86,2.13,35,37,3.11,1.31,10
02,Baja California,001,Ensenada,0001,Ensenada,0134,032,213,12,19,*,10.06,1.83,84,67,3.55,1.13,28
02,Baja California,001,Ensenada,0001,Ensenada,0134,033,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0134,034,210,17,20,0,8.99,2.04,76,83,3.04,1.46,16
02,Baja California,001,Ensenada,0001,Ensenada,0134,035,116,7,5,3,9.45,1.76,50,44,3.52,1.53,11
02,Baja California,001,Ensenada,0001,Ensenada,0134,036,99,7,7,*,9.51,1.94,23,39,3.09,1.41,6
