@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
113,Ensenada,1,Ensenada,100,33,31,0,7,0,8.65,2,7,1.82,4.43,5,12
114,Ensenada,1,Ensenada,100,34,26,0,0,0,8.7,2.4,8,0.96,3.25,5,8
115,Ensenada,1,Ensenada,100,35,29,0,3,0,9.39,1.8,8,1.21,4.14,5,14
116,Ensenada,1,Ensenada,100,36,12,0,0,0,6.67,1.75,3,2,4,5,11
117,Ensenada,1,Ensenada,100,37,8,0,0,0,12.88,1.5,4,1.14,2.67,5,11
118,Ensenada,1,Ensenada,100,38,7,0,0,0,12.88,1.5,4,1.14,2.67,5,11
119,Ensenada,1,Ensenada,100,39,26,0,0,0,6.93,4.2,9,1.53,3.71,5,12
120,Ensenada,1,Ensenada,100,40,19,0,0,0,8.5,2.29,8,1.55,2.71,5,8
121,Ensenada,1,Ensenada,100,41,25,0,0,0,9.37,1.5,6,1,4.17,5,8
122,Ensenada,1,Ensenada,100,42,16,0,0,0,9.56,2.6,5,1.33,4,5,6
123,Ensenada,1,Ensenada,100,43,4,0,0,0,9.56,2.6,1,1.33,4,5,6
124,Ensenada,1,Ensenada,100,44,5,0,0,0,9.56,2.6,1,1.33,4,5,6
125,Ensenada,1,Ensenada,100,45,18,0,3,0,7.36,4,5,1.2,4.5,5,9
126,Ensenada,1,Ensenada,100,46,10,0,3,0,11.57,4.25,3,1.11,3.33,5,4
127,Ensenada,1,Ensenada,100,47,12,0,3,0,6.13,1.75,7,1.2,3,0,4
128,Ensenada,1,Ensenada,100,48,0,0,0,0,0,0,1,0,0,0,0
131,Ensenada,1,Ensenada,115,1,73,4,5,0,10.48,1.63,23,1.49,3.48,8,28
132,Ensenada,1,Ensenada,115,2,72,3,7,0,9.44,2.14,23,1.44,3.79,11,29
133,Ensenada,1,Ensenada,115,3,73,8,6,0,8.78,2.54,23,1.28,3.65,8,19
134,Ensenada,1,Ensenada,115,4,61,8,3,9,7.93,2.17,21,1.2,3.39,4,25
135,Ensenada,1,Ensenada,115,5,69,4,7,9,9.86,2.74,22,1.17,3.83,5,29
136,Ensenada,1,Ensenada,115,6,72,6,6,0,10.18,1.63,21,1.5,4,5,33
137,Ensenada,1,Ensenada,115,7,60,3,6,0,9.28,1.81,20,1.02,3.33,3,29
138,Ensenada,1,Ensenada,115,8,79,0,5,0,10,1.67,28,1.16,3.43,14,37
139,Ensenada,1,Ensenada,115,9,50,0,5,0,10,2,23,1.04,2.94,8,18
140,Ensenada,1,Ensenada,115,10,64,4,5,0,9.2,2.04,23,1.52,3.56,5,23
141,Ensenada,1,Ensenada,115,11,0,0,0,0,0,0,0,0,0,0,0
142,Ensenada,1,Ensenada,115,12,84,5,3,0,9.71,1.67,27,1.27,3.65,11,33
143,Ensenada,1,Ensenada,115,13,93,3,3,3,8.81,1.95,24,1.27,3.88,8,36
144,Ensenada,1,Ensenada,115,14,73,4,3,3,9.49,1.61,23,1.4,3.84,5,31
145,Ensenada,1,Ensenada,115,15,69,3,4,3,9.38,2.03,21,1.23,3.83,8,29
146,Ensenada,1,Ensenada,115,16,0,0,0,0,0,0,1,0,0,0,0
147,Ensenada,1,Ensenada,115,17,0,0,0,0,0,0,0,0,0,0,0
148,Ensenada,1,Ensenada,115,18,63,3,0,0,8.52,2.13,25,1.24,3.15,4,28
149,Ensenada,1,Ensenada,115,19,61,6,0,0,9.65,2.58,24,1.36,3.59,9,31
