index,NOM_LOC,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
1968,Ensenada,5987,3,4125.0,150.0,9.782553191489361,1.627659574468085,1236.0,0.7131914893617022,3.1936170212765957,775.0,1371.0,389.0
2016,Ensenada,5991,1,161.0,3.0,6.174615384615384,0.75,95.0,0.27999999999999997,1.6207692307692307,53.0,64.0,17.0
2030,Ensenada,6006,1,5443.0,225.0,8.844594594594595,2.1554054054054053,1581.0,0.9937837837837838,3.7354054054054058,624.0,1987.0,548.0
2068,Ensenada,6010,1,3514.0,273.0,8.12906976744186,2.501627906976744,1108.0,0.9711627906976744,3.623488372093023,332.0,1288.0,394.0
2112,Ensenada,6025,1,1327.0,74.0,13.703999999999999,1.341,542.0,0.56,2.8625,396.0,471.0,87.0
2133,Ensenada,6148,1,1131.0,42.0,5.823333333333333,0.9595833333333333,360.0,0.5320833333333334,2.19375,185.0,840.0,203.0
2182,Ensenada,7377,1,3223.0,184.0,7.479411764705882,2.3849019607843136,949.0,1.130392156862745,3.656078431372549,265.0,1319.0,452.0
2234,Ensenada,7432,1,3577.0,67.0,8.147555555555556,2.1142222222222222,1054.0,1.1402222222222222,3.636444444444444,358.0,1362.0,557.0
2280,Ensenada,7447,1,665.0,33.0,5.6,1.4677142857142857,243.0,0.7034285714285714,2.5305714285714282,138.0,349.0,52.0
2316,Ensenada,7451,1,1303.0,56.0,10.201,1.83,427.0,0.8055,3.28,193.0,444.0,129.0
2351,Ensenada,7502,20,1223.0,29.0,10.576470588235296,1.8094117647058825,368.0,0.806470588235294,3.482941176470588,210.0,342.0,101.0
2369,Ensenada,7625,1,178.0,10.0,13.07090909090909,2.2618181818181817,149.0,0.7181818181818183,1.981818181818182,82.0,105.0,3.0
2381,Ensenada,7644,1,1812.0,54.0,6.8912,2.2268,458.0,1.1252,3.9632,123.0,835.0,229.0
2407,Ensenada,7659,1,848.0,25.0,7.50375,2.49125,372.0,1.5575,3.635,33.0,421.0,134.0
2416,Ensenada,7663,1,1248.0,34.0,9.2824,1.9243999999999999,396.0,1.0056,3.5452,184.0,458.0,163.0
2442,Ensenada,7678,1,1719.0,59.0,8.436862745098038,2.0198039215686276,556.0,1.2280392156862745,3.6094117647058828,183.0,754.0,253.0
2494,Ensenada,7682,1,1334.0,110.0,7.457173913043479,2.4458695652173916,440.0,0.9517391304347826,3.511304347826087,107.0,742.0,145.0
2541,Ensenada,7697,1,2196.0,138.0,6.204905660377359,2.1652830188679246,708.0,0.8990566037735849,2.981698113207547,199.0,951.0,324.0
2625,Ensenada,7714,1,2879.0,172.0,8.219375,2.2703125,905.0,0.869375,3.345625,329.0,1057.0,367.0
2658,Ensenada,7729,1,2107.0,194.0,11.213225806451613,1.8758064516129032,746.0,0.6748387096774194,3.2680645161290323,431.0,680.0,222.0
2690,Ensenada,7733,1,1946.0,243.0,9.135151515151515,1.9872727272727273,712.0,0.7027272727272728,2.9103030303030306,376.0,689.0,152.0
2724,Ensenada,7748,1,1415.0,63.0,11.012222222222222,1.6661111111111113,637.0,0.7380555555555556,3.0127777777777776,313.0,533.0,137.0
2761,Ensenada,7752,1,2851.0,242.0,9.811142857142856,1.9945714285714287,1038.0,0.786,3.1728571428571426,492.0,908.0,287.0
2797,Ensenada,7767,1,1175.0,147.0,10.870000000000001,2.202857142857143,417.0,0.6764285714285715,3.1142857142857143,238.0,410.0,110.0
2812,Ensenada,7771,1,2051.0,323.0,9.786216216216216,1.5056756756756757,876.0,0.5756756756756757,2.485945945945946,487.0,692.0,122.0
2850,Ensenada,7786,1,2367.0,249.0,10.083928571428572,2.2032142857142856,850.0,0.7771428571428572,3.2932142857142854,442.0,762.0,230.0
2879,Ensenada,7790,1,2407.0,156.0,8.651428571428571,1.8683673469387754,915.0,0.8240816326530612,2.8828571428571426,331.0,1110.0,284.0
2929,Ensenada,7818,1,2323.0,113.0,8.811891891891893,2.2094594594594597,690.0,1.0854054054054054,3.7586486486486486,221.0,877.0,303.0
2967,Ensenada,7822,1,2360.0,94.0,7.601428571428572,2.020408163265306,771.0,1.0448979591836736,3.409591836734694,239.0,926.0,359.0
3017,Ensenada,7837,1,1716.0,236.0,10.292352941176471,2.0411764705882356,793.0,0.7694117647058824,2.915,312.0,557.0,116.0
3052,Ensenada,7841,1,1652.0,238.0,9.637,2.4570000000000003,706.0,0.7016666666666667,2.9993333333333334,250.0,545.0,150.0
3083,Ensenada,7856,1,1621.0,321.0,11.78170731707317,2.2487804878048783,659.0,0.5460975609756098,2.795121951219512,417.0,578.0,110.0
3125,Ensenada,7860,1,1208.0,249.0,10.746969696969696,1.9024242424242424,497.0,0.49787878787878787,2.647575757575758,289.0,502.0,62.0
3159,Ensenada,7875,1,2076.0,225.0,10.9075,2.1110714285714285,785.0,0.7128571428571429,3.2621428571428575,404.0,644.0,200.0
3218,Ensenada,7894,1,1608.0,146.0,9.028333333333332,2.265,532.0,0.895,3.41,289.0,449.0,200.0
3255,Ensenada,7907,1,1276.0,71.0,8.910322580645163,2.104516129032258,422.0,0.8741935483870968,3.404193548387097,199.0,392.0,160.0
3287,Ensenada,7911,1,2176.0,375.0,9.667777777777777,2.385111111111111,771.0,0.7475555555555555,3.2455555555555557,351.0,652.0,139.0
