index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
150,Ensenada,1,Ensenada,0115,20,95.0,7.0,11.0,0.0,9.59,2.09,31.0,1.19,3.28,11.0,40.0
151,Ensenada,1,Ensenada,0115,21,34.0,3.0,11.0,0.0,9.57,2.07,11.0,1.31,4.25,4.0,17.0
152,Ensenada,1,Ensenada,0115,22,1.0,3.0,11.0,0.0,9.57,2.07,3.0,1.31,4.25,4.0,17.0
153,Ensenada,1,Ensenada,0115,23,39.0,3.0,11.0,0.0,10.31,1.61,14.0,1.3,3.25,4.0,21.0
154,Ensenada,1,Ensenada,0115,24,7.0,3.0,11.0,0.0,10.31,1.61,1.0,1.3,3.25,4.0,21.0
155,Ensenada,1,Ensenada,0115,25,7.0,3.0,11.0,0.0,10.31,1.61,3.0,1.3,3.25,4.0,21.0
156,Ensenada,1,Ensenada,0115,26,11.0,0.0,0.0,0.0,10.3,3.75,4.0,0.85,2.75,4.0,7.0
157,Ensenada,1,Ensenada,0115,27,44.0,0.0,0.0,0.0,10.19,2.33,13.0,1.22,3.67,5.0,20.0
158,Ensenada,1,Ensenada,0115,28,73.0,5.0,0.0,3.0,9.24,1.93,29.0,1.12,3.32,7.0,35.0
159,Ensenada,1,Ensenada,0115,29,53.0,4.0,4.0,0.0,10.39,1.57,18.0,1.56,3.79,7.0,14.0
160,Ensenada,1,Ensenada,0115,30,8.0,4.0,4.0,0.0,10.39,1.57,2.0,1.56,3.79,7.0,14.0
161,Ensenada,1,Ensenada,0115,31,2.0,4.0,4.0,0.0,10.39,1.57,1.0,1.56,3.79,7.0,14.0
162,Ensenada,1,Ensenada,0115,33,6.0,0.0,0.0,3.0,5.0,4.67,3.0,1.0,2.0,0.0,5.0
163,Ensenada,1,Ensenada,0115,34,56.0,0.0,4.0,0.0,9.14,1.7,22.0,1.6,3.11,3.0,27.0
